,dialog,summary,finetuned_predicted
0,"658975: @hulu_support My watchlist is not updating with new episodes (past couple days).  Any idea why?
hulu_support: @658975 Sorry! 😔 We assure you that our team is working hard to investigate, and we hope to have a fix ready soon!
hulu_support: @658975 We definitely understand, Norlene. For now, we recommend checking the show page for these shows as the new eps will be there
hulu_support: @658975 Awesome! That's what we love to hear. If you happen to need anything else, we'll be here to support! 💚
",Customer is complaining that the watchlist is not updated with new episodes from past two days. Agent informed that the team is working hard to investigate to show new episodes on page.,"The customer is complaining that his watchlist is not updating with new episodes. The agent updated that their team is working hard to investigate and they hope to have a fix ready soon and also asked to check the show page for these shows as the new episodes will be there and assured that if they happen to need anything else, they will be here to support."
1,"658975: @hulu_support My watchlist is not updating with new episodes (past couple days).  Any idea why?
hulu_support: @658975 Apologies for the trouble, Norlene! We're looking into this. In the meantime, try navigating to the season / episode manually.
hulu_support: @658975 Sorry! 😔 We assure you that our team is working hard to investigate, and we hope to have a fix ready soon!
658975: @hulu_support Thank you! Some shows updated overnight, but others did not...
hulu_support: @658975 We definitely understand, Norlene. For now, we recommend checking the show page for these shows as the new eps will be there
",Customer is complaining that my watch list is not updating with the new episodes. Agent updated to recommend checking the show page for these shows as the new eps will be there.,Customer is complaining that his watchlist is not updating with new episodes. Agent updated that to check the show page for these shows as the new eps will be there soon and also informed that their team is working hard to investigate and they hope to have a fix ready soon.
2,"658975: @hulu_support My watchlist is not updating with new episodes (past couple days).  Any idea why?
hulu_support: @658975 Apologies for the trouble, Norlene! We're looking into this. In the meantime, try navigating to the season / episode manually.
hulu_support: @658975 Sorry! 😔 We assure you that our team is working hard to investigate, and we hope to have a fix ready soon!
hulu_support: @658975 We definitely understand, Norlene. For now, we recommend checking the show page for these shows as the new eps will be there
658975: @hulu_support As of this morning, the problem seems to be resolved. Watchlist updated overnight with all new episodes. Thank you for your attention to this matter! I love Hulu 💚
",Customer is complaining that he is not getting the updated watch list with new episodes for some shows. Agent assures that their team is working on it to resolve the issue and requests to navigate manually in the meantime.,Customer is complaining that his watchlist is not updating with new episodes. Agent updated that to check the show page for these shows as the new eps will be there and also informed that the problem seems to be resolved as of this morning with all new episodes and also updated that their team is working hard to investigate and they hope to have a fix ready soon.
3,"637109: @AirbnbHelp hi , my Acc was linked to an old number. Now I’m asked to verify my Acc , where a code / call wil be sent to my old number. Any way that I can link my Acc to my current number? Pls help
637109: @AirbnbHelp hi , my Acc was linked to an old number. Now I’m asked to verify my Acc , where a code / call wil be sent to my old number. Any way that I can link my Acc to my current number? Pls help
AirbnbHelp: @637109 Hi there, we are here to help. We will have a specialist contact you about changing your phone number. Thank you.
AirbnbHelp: @637109 Can you please delete this post as it does have personal info in it. We have updated your Case Manager https://t.co/WCQEFGIlXC
",Customer is asking about the ACC to link to the current  number. Agent says that they have updated their case manager.,Customer is complaining that his Acc was linked to an old number and now he is asked to verify his Acc where a code / call will be sent to his old number. Agent updated that they will have a specialist contact them about changing their phone number and asked to delete the post as it does have personal info in it.
4,"637109: @AirbnbHelp hi , my Acc was linked to an old number. Now I’m asked to verify my Acc , where a code / call wil be sent to my old number. Any way that I can link my Acc to my current number? Pls help
AirbnbHelp: @637109 Can you please delete this post as it does have personal info in it. We have updated your Case Manager https://t.co/WCQEFGIlXC
AirbnbHelp: @637109 Can you please delete this post as it does have personal info in it. We have updated your Case Manager https://t.co/WCQEFGIlXC
","Customer is enquiring that whether they can change the current number to link the account as they have old number which was linked. Agent states that they have updated to case manager, they will look into it and also to DM for further assistance.",The customer is complaining that his Acc was linked to an old number and now he is asked to verify his Acc where a code / call will be sent to his old number. The agent asked to delete the post as it does have personal info in it and updated that they have updated their Case Manager.
5,"637109: @AirbnbHelp hi , my Acc was linked to an old number. Now I’m asked to verify my Acc , where a code / call wil be sent to my old number. Any way that I can link my Acc to my current number? Pls help
AirbnbHelp: @637109 Hi there, we are here to help. We will have a specialist contact you about changing your phone number. Thank you.
AirbnbHelp: @637109 Can you please delete this post as it does have personal info in it. We have updated your Case Manager https://t.co/WCQEFGIlXC
",Customer wants to link their account to their new number since its asking verification where a code/call will be sent to their old number. Agent replies that they have updated the Case Manager to resolve this issue.,The customer is complaining that his Acc was linked to an old number. The agent updated that they will have a specialist contact about changing the phone number and asked the customer to delete the post as it does have personal info in it and also informed that they have updated their case manager.
6,"368952: @115858 the new update ios11 sucks. I can’t even use some apps on my phone.
368952: @115858 the new update ios11 sucks. I can’t even use some apps on my phone.
368952: @AppleSupport I am using 11.0.3 and there are no updates for words pro that I can find
AppleSupport: @368952 Thanks for confirming this. Send us a DM and we'll work from there: https://t.co/GDrqU22YpT
",Customer is complaining about the new updates IOS11 and can't even use some apps on phone. Agent asks to send a DM and work from there URL.,Customer is complaining that the new update ios11 sucks and he can't even use some apps on his phone. Agent updated that to send them a DM and they will work from there: https://t.co/GDrqU22YpT.
7,"368952: @115858 the new update ios11 sucks. I can’t even use some apps on my phone.
AppleSupport: @368952 Do you see app updates in App Store &gt; Updates? Also, are you using iOS 11.0.3?
368952: @AppleSupport I am using 11.0.3 and there are no updates for words pro that I can find
AppleSupport: @368952 Thanks for confirming this. Send us a DM and we'll work from there: https://t.co/GDrqU22YpT
",Customer is complaining that they are unable to use some apps because of the new update ios11. Agent updates to DM through the given URL and they will work for it.,Customer is complaining that the new update ios11 sucks and they can't even use some apps on their phone. Agent updated that to send them a DM and they will work from there via provided link and also updated that they will look into this issue as soon as possible.
8,"368952: @115858 the new update ios11 sucks. I can’t even use some apps on my phone.
AppleSupport: @368952 Do you see app updates in App Store &gt; Updates? Also, are you using iOS 11.0.3?
368952: @AppleSupport I am using 11.0.3 and there are no updates for words pro that I can find
AppleSupport: @368952 Thanks for confirming this. Send us a DM and we'll work from there: https://t.co/GDrqU22YpT
",Customer is not able to use some apps on their phone due to the new update ios 11. Agent updates to send them DM through the given URL and they will work from there.,Customer is complaining that the new update ios11 sucks and they can't even use some apps on their phone. Agent updated that to send them a DM and they will work from there via provided link and also updated that they will look into this issue as soon as possible.
9,"696741: @UPSHelp I’m not DM’ing you because you’re a useless company every week I get a delivery from you and the lazy driver just gives the post office the items and then the app tells me they are gonna deliver the next day then 20 mins later says they’re at the post office
UPSHelp: @696741 There is two service levels where we are required to deliver the packages from the shipper to the Post Office and they take care of the final delivery. One is Surepost and the other is Mail Innovations. ^LD https://t.co/wKJHDXWGRQ
696741: @UPSHelp So surepost is where your shit company just gets your drivers to drop off everyone’s parcels at the post office? I didn’t trust your shit app and went to go collect my item today and they didn’t have it 20 mins later they did when on the app it said it was coming tomorrow
UPSHelp: @696741 Surepost is a contracted service where we deliver the package from the shipper to USPS for them to do the final delivery. If you do want help we will need the tracking number to see what specifically is going on. ^LD https://t.co/wKJHDXWGRQ
",Customer is complaining about parcel service  of  delivery drivers. Agent is asking  to provide more details.,Customer is complaining about the service where they are required to deliver the packages from the shipper to the post office and they take care of the final delivery. Agent updated that they will need the tracking number to see what is going on and also informed that Surepost is a contracted service where we deliver the package from shipped to USPS for them to do the delivery.
